UF;ANO;SA;CH;ED;EP;IF;IN;PM;SF;SP;SS;RG
BA;2020;62,51;20,45;16,73;77,14;39,85;32,16;0,00;72,83;35,69;30,86;38,82
CE;2020;57,08;14,74;68,10;57,77;51,21;29,73;23,75;81,75;52,58;36,02;47,27
DF;2020;100,00;100,00;66,06;64,75;65,25;55,34;35,22;34,35;83,87;91,67;69,65
ES;2020;78,40;30,47;59,94;95,25;58,50;42,39;6,68;100,00;62,25;70,92;60,48
GO;2020;74,03;20,62;59,55;61,49;38,59;24,64;37,61;21,37;60,52;64,67;46,31
MA;2020;14,05;19,23;18,72;30,84;25,78;15,26;29,66;40,69;83,10;5,06;28,24
MG;2020;70,22;21,65;83,62;78,05;37,85;54,64;25,25;11,44;78,65;85,44;54,68
MS;2020;65,73;33,06;47,08;68,41;56,42;77,42;46,13;57,94;81,86;72,02;60,61
MT;2020;45,58;25,51;50,95;59,26;47,71;33,16;76,57;40,38;61,81;66,42;50,74
PA;2020;29,73;0,31;1,44;44,94;5,42;11,02;44,20;82,96;65,31;4,72;29,01
PB;2020;64,93;10,68;31,29;27,58;48,89;62,76;2,72;64,28;82,32;40,67;43,61
PE;2020;48,77;38,22;45,73;61,44;55,54;53,71;27,44;37,04;35,76;32,26;43,59
PI;2020;29,83;7,04;38,80;0,14;25,59;30,49;22,98;13,02;55,83;22,92;24,66
PR;2020;84,52;34,06;79,23;84,55;58,56;82,86;37,40;65,66;77,20;87,38;69,14
RJ;2020;71,47;70,39;53,33;70,36;54,27;56,93;13,36;0,31;42,10;66,88;49,94
RN;2020;51,22;32,86;38,47;36,82;51,67;47,01;0,97;8,69;50,57;34,40;35,27
RO;2020;0,00;0,00;34,16;69,91;39,43;29,13;51,12;80,77;71,67;42,52;41,87
RR;2020;62,39;36,49;7,59;0,00;29,03;6,45;100,00;72,37;0,00;6,54;32,09
RS;2020;61,52;21,63;52,12;96,54;37,10;92,31;26,90;0,00;76,67;90,44;55,52
SC;2020;66,55;45,58;86,36;100,00;67,76;85,39;61,00;67,51;100,00;100,00;78,02
SE;2020;42,51;0,89;16,81;67,84;47,42;35,34;1,31;44,52;32,58;26,56;31,58
SP;2020;93,35;49,23;100,00;82,33;100,00;100,00;92,67;64,92;84,67;94,41;86,16
TO;2020;45,25;44,38;39,67;36,99;30,58;0,00;46,95;15,83;49,31;50,48;35,94
