SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079019;OUTRAS AMILASES E SEUS CONCENTRADOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079021;FIBRINUCLEASES
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079022;BROMELINA
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079026;PAPAINA
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079029;OUTRAS PROTEASES E SEUS CONCENTRADOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079031;LISOZIMA E SEU CLORIDRATO
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079032;L-ASPARAGINASE
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079039;OUTRAS ENZIMAS E SEUS CONCENTRADOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079041;ENZIMAS PREPARADAS A BASE DE CELULASES
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079042;ENZIMAS PREPARADAS A BASE DE TRANSGLUTAMINASE
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079049;OUTRAS ENZIMAS PREPARADAS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;ESSÊNCIAS DERIVADAS DE MADEIRA;38051000;ESSENCIAS DE TEREBINTINA,DE PINHEIRO OU ETC.
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;ESSÊNCIAS DERIVADAS DE MADEIRA;38052000;OLEO DE PINHO
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;ESSÊNCIAS DERIVADAS DE MADEIRA;38059000;OUTS.ESSENCIAS TERPENICAS DA DESTIL/TRATAM.MADEIRAS,ETC
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;ESSÊNCIAS DERIVADAS DE MADEIRA;38059010;ÓLEO DE PINHO
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;ESSÊNCIAS DERIVADAS DE MADEIRA;38059090;OUTS.ESSÊNC.TERPÊNICAS D/FAB.D/MAD,PAPEL
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS;38061000;COLOFONIAS E ACIDOS RESINICOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS;38062000;SAIS DE COLOFONIAS,ACIDOS RESINICOS OU DE SEUS DERIVS.
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS;38063000;GOMAS ESTERES (GOMAS FUNDIDAS)
DEMAIS PRODUTOS DE ORIGEM VEGETAL;PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL;COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS;38069011;COLOFONIAS OXIDADAS,HIDROGENADAS,DESIDROGENADAS,ETC.
