SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;07111000;CEBOLAS CONSERVADAS EM AGUA SALGADA,SULFURADA,ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;AZEITONAS PREPARADAS OU CONSERVADAS;07112010;AZEITONAS CONSERV.COM AGUA SALGADA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;AZEITONAS PREPARADAS OU CONSERVADAS;07112020;AZEITONAS CONSERV.COM AGUA SULFURADA/ADIC.DE OUTS SUBST
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;AZEITONAS PREPARADAS OU CONSERVADAS;07112090;OUTRAS AZEITONAS CONSERVADAS TRANSITORIAMENTE
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;ALCAPARRAS PREPRARADAS OU CONSERVADAS;07113010;ALCAPARRAS CONSERVADAS EM AGUA SALGADA,SULFURADA,ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;ALCAPARRAS PREPRARADAS OU CONSERVADAS;07113090;OUTRAS ALCAPARRAS CONSERVADAS TRANSITORIAMENTE
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;PEPINOS PREPARADOS OU CONSERVADOS;07114000;PEPINOS E PEPININHOS CONSERVADOS EM AGUA SALGADA,ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;COGUMELOS E TRUFAS PREPARADOS OU CONSERVADOS;07115100;COGUMELOS 'AGARICUS' CONSERV.AGUA SALG.ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;COGUMELOS E TRUFAS PREPARADOS OU CONSERVADOS;07115900;OUTS.COGUMELOS E TRUFAS CONSERV.AGUA SALG.ETC
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS PREPARADOS OU CONSERVADOS;07119000;OUTROS PRODS.HORTS/MISTURAS,CONSERV.EM AGUA SALGADA,ETC
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;CEBOLAS SECAS;07122000;CEBOLAS SECAS,INCL.PEDACOS,FATIAS,PO,ETC.S/QQ.OUT.PREP.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;COGUMELOS E TRUFAS SECOS;07123000;COGUMELOS E TRUFAS,SECOS,INCL.PEDACOS,ETC.S/QQ.OUT.PREP
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;COGUMELOS E TRUFAS SECOS;07123100;COGUMELOS 'AGARICUS' SECOS,MESMO CORTAD.ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS OU REFRIGERADOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS;07123200;ORELHAS-DE-JUDAS SECOS,MESMO CORTADOS,ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;07123300;TREMELAS SECOS,MESMO CORTADOS,ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;COGUMELOS E TRUFAS SECOS;07123900;OUTS.COGUMELOS E TRUFAS,SECOS,MESMO CORT.ETC.
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;ALHO EM PÓ;07129010;ALHO COMUM EM PO SEM QUALQUER OUTRO PREPARO
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;07129090;OUTS.PRODS.HORTS/MISTURAS,SECOS,INCL.PEDACOS,FATIAS,ETC
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07131010;ERVILHAS (PISUM SATIVUM),SECAS,EM GRAOS,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;ERVILHAS SECAS;07131090;OUTRAS ERVILHAS (PISUM SATIVUM),SECAS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07132010;GRAO-DE-BICO,SECO,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;GRÃOS-DE-BICO SECOS;07132090;OUTROS GRAOS-DE-BICO,SECOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133110;FEIJOES (VIGNA MUNGO OU RADIATA) SECOS,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133190;OUTROS FEIJOES (VIGNA MUNGO OU RADIATA),SECOS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133210;FEIJAO ADZUKI,SECO,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133290;OUTROS FEIJOES ADZUKI,SECOS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133311;FEIJAO COMUM,PRETO,SECO,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133319;OUTROS FEIJOES COMUNS,PRETOS,SECOS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133321;FEIJAO COMUM,BRANCO,SECO,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133329;OUTROS FEIJOES COMUNS,BRANCOS,SECOS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133391;OUTROS FEIJOES COMUNS,SECOS,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133399;OUTROS FEIJOES COMUNS,SECOS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133410;FEIJAO-BAMBARA (VIGNA SUBTERRANEA), PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133490;FEIJAO-BAMBARA, EXCETO PARA SEMEADURA
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133510;FEIJAO-FRADINHO (VIGNA UNGUICULATA), PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133590;FEIJAO-FRADINHO, EXCETO PARA SEMEADURA
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07133910;OUTROS FEIJOES (VIGNA OU PHASEOLUS),SECOS,P/SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;FEIJÕES SECOS;07133990;OUTROS FEIJOES (VIGNA OU PHASEOLUS),SECOS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07134010;LENTILHAS SECAS,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;LENTILHAS SECAS;07134090;OUTRAS LENTILHAS SECAS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07135010;FAVAS E FAVA FORRAGEIRA,SECAS,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;07135090;OUTRAS FAVAS E FAVA FORRAGEIRA,SECAS,EM GRAOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07136010;FEIJAO-GUANDO (CAJANUS CAJAN), PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;07136090;FEIJAO-GUANDO (CAJANUS CAJAN), EXCETO PARA SEMEADURA
DEMAIS PRODUTOS DE ORIGEM VEGETAL;SEMENTES;SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;07139010;OUTROS LEGUMES DE VAGEM,SECOS,EM GRAOS,PARA SEMEADURA
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS SECOS;07139090;OUTROS LEGUMES DE VAGEM,SECOS,EM GRAOS
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;OUTROS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;MANDIOCA;07141000;RAIZES DE MANDIOCA,FRESCAS,REFRIGERADAS,CONGEL.OU SECAS
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS OU REFRIGERADOS;BATATA-DOCE;07142000;BATATAS-DOCES,FRESCAS,REFRIGERADAS,CONGELADAS OU SECAS
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS OU REFRIGERADOS;INHAME;07143000;INHAMES (DIOSCOREA SPP.)
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS OU REFRIGERADOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS;07144000;TAROS (COLOCASIA SPP.)
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS OU REFRIGERADOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS;07145000;MANGARITOS (XANTHOSOMO SPP.)
PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS;PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS OU REFRIGERADOS;DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS FRESCOS;07149000;OUTS.RAIZES,TUBERCULOS,FRESCOS,ETC.E MEDULA DE SAGUEIRO
FRUTAS (INCLUI NOZES E CASTANHAS);COCOS;COCOS FRESCOS OU SECOS;08011100;COCOS, FRESCOS OU SECOS, DESSECADOS
FRUTAS (INCLUI NOZES E CASTANHAS);COCOS;COCOS FRESCOS OU SECOS;08011110;COCOS SECOS,SEM CASCA,MESMO RALADOS
FRUTAS (INCLUI NOZES E CASTANHAS);COCOS;COCOS FRESCOS OU SECOS;08011190;OUTROS COCOS SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);COCOS;COCOS (ENDOCARPO);08011200;COCOS NA CASCA INTERNA (ENDOCARPO)
FRUTAS (INCLUI NOZES E CASTANHAS);COCOS;COCOS FRESCOS OU SECOS;08011900;COCOS FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;CASTANHA DO PARÁ;08012100;CASTANHA-DO-PARA,FRESCA OU SECA,COM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;CASTANHA DO PARÁ;08012200;CASTANHA-DO-PARA,FRESCA OU SECA,SEM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;CASTANHA DE CAJÚ;08013100;CASTANHA DE CAJU,FRESCA OU SECA,COM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;CASTANHA DE CAJÚ;08013200;CASTANHA DE CAJU,FRESCA OU SECA,SEM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;AMÊNDOA;08021100;AMENDOAS FRESCAS OU SECAS,COM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;AMÊNDOA;08021200;AMENDOAS FRESCAS OU SECAS,SEM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;AVELÃS;08022100;AVELAS (CORYLUS SPP) FRESCAS OU SECAS,COM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;AVELÃS;08022200;AVELAS (CORYLUS SPP) FRESCAS OU SECAS,SEM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;NOZES;08023100;NOZES FRESCAS OU SECAS,COM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;NOZES;08023200;NOZES FRESCAS OU SECAS,SEM CASCA
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08024000;CASTANHAS (CASTANEA SPP) FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08024100;CASTANHAS (CASTANEAS SPP.) COM CASCA, FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08024200;CASTANHAS (CASTANEAS SPP.), SEM CASCA, FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08025000;PISTACIOS FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08025100;PISTACIOS, COM CASCA, FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08025200;PISTACIOS, SEM CASCA, FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08026000;NOZES D/MACADÂMIA MESMO S/ CASCA,FRES./SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08026100;NOZES DE MACADAMIA, COM CASCA, FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08026200;NOZES DE MACADAMIA, SEM CASCA, FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08027000;NOZES DE COLA (COLA SPP.), FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);NOZES E CASTANHAS;DEMAIS NOZES E CASTANHAS;08028000;NOZES DE ARECA (NOZES DE BETELE), FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08029000;OUTRAS FRUTAS DE CASCA RIJA,FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);BANANAS;BANANAS FRESCAS OU SECAS;08030000;BANANAS FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);BANANAS;BANANAS FRESCAS OU SECAS;08031000;BANANAS-DA-TERRA, FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);BANANAS;BANANAS FRESCAS OU SECAS;08039000;BANANAS FRESCAS OU SECAS, EXCETO BANANAS-DA-TERRA
FRUTAS (INCLUI NOZES E CASTANHAS);TAMARAS;TAMARAS FRESCAS;08041010;TAMARAS FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);TAMARAS;TAMARAS SECAS;08041020;TAMARAS SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);FIGOS;FIGOS FRESCOS;08042010;FIGOS FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);FIGOS;FIGOS SECOS;08042020;FIGOS SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);ABACAXIS;ABACAXIS FRESCOS OU SECOS;08043000;ABACAXIS FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);ABACATES;ABACATES FRESCOS OU SECOS;08044000;ABACATES FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08045000;GOIABAS,MANGAS E MANGOSTOES,FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);GOIABAS;GOIABAS FRESCAS OU SECAS;08045010;GOIABAS FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);MANGAS;MANGAS FRESCAS OU SECAS;08045020;MANGAS FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);MANGOSTOES;MANGOSTOES FRESCOS OU SECOS;08045030;MANGOSTOES FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);LARANJAS;LARANJAS FRESCAS OU SECAS;08051000;LARANJAS FRESCAS OU SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);TANGERINAS, MANDARINAS E SATOSUMAS;TANGERINAS, MANDARINAS E SATOSUMAS FRESCAS OU SECAS;08052000;TANGERINAS,MANDARINAS,SATSUMAS,ETC.FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);TANGERINAS, MANDARINAS E SATOSUMAS;MANDARINAS;08052100;MANDARINAS (INCLUINDO AS TANGERINAS E AS SATSUMAS)
FRUTAS (INCLUI NOZES E CASTANHAS);CLEMENTINAS;CLEMENTINAS;08052200;CLEMENTINAS
FRUTAS (INCLUI NOZES E CASTANHAS);TANGERINAS, MANDARINAS E SATOSUMAS;TANGERINAS, MANDARINAS E SATOSUMAS FRESCAS OU SECAS;08052900;OUTROS CITROS HÍBRIDOS
FRUTAS (INCLUI NOZES E CASTANHAS);LIMÕES E LIMAS;LIMÕES E LIMAS FRESCOS OU SECOS;08053000;LIMOES E LIMAS,FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);POMELOS;POMELOS;08054000;POMELOS ('GRAPEFRUIT') FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);LIMÕES E LIMAS;LIMÕES E LIMAS FRESCOS OU SECOS;08055000;LIMOES E LIMAS,FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08059000;OUTROS CITRICOS FRESCOS OU SECOS
FRUTAS (INCLUI NOZES E CASTANHAS);UVAS;UVAS FRESCAS;08061000;UVAS FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);UVAS;UVAS SECAS;08062000;UVAS SECAS
FRUTAS (INCLUI NOZES E CASTANHAS);MELANCIAS;MELANCIAS FRESCAS;08071100;MELANCIAS FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);MELÕES;MELÕES FRESCOS;08071900;MELOES FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);MAMÕES (PAPAIA);MAMÕES (PAPAIA) FRESCOS;08072000;MAMOES (PAPAIAS) FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);MAÇÃS;MAÇÃS FRESCAS;08081000;MACAS FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);PÊRAS;PÊRAS FRESCAS;08082010;PERAS FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);MARMELOS;MARMELOS FRESCOS;08082020;MARMELOS FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);PÊRAS;PÊRAS FRESCAS;08083000;PERAS, FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);MARMELOS;MARMELOS FRESCOS;08084000;MARMELOS, FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);DAMASCOS;DAMASCOS FRESCOS;08091000;DAMASCOS FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);CEREJAS;CEREJAS FRESCAS;08092000;CEREJAS FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);CEREJAS;CEREJAS FRESCAS;08092100;CEREJAS-ACIDAS (PRUNUS CERASUS), FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);CEREJAS;CEREJAS FRESCAS;08092900;OUTRAS CEREJAS, FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);PÊSSEGOS;PÊSSEGOS FRESCOS;08093010;PESSEGOS FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08093020;BRUGNONS E NECTARINAS,FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08094000;AMEIXAS E ABRUNHOS,FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);MORANGOS;MORANGOS FRESCOS;08101000;MORANGOS FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08102000;FRAMBOESAS,AMORAS E AMORAS-FRAMBOESAS,FRESCAS
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08103000;GROSELHAS FRESCAS,INCLUSIVE O 'CASSIS'
FRUTAS (INCLUI NOZES E CASTANHAS);OUTRAS FRUTAS;OUTRAS FRUTAS SECAS OU FRESCAS;08104000;AIRELAS,MIRTILOS E OUTS.FRUTAS GENERO VACCINIUM,FRESCOS
FRUTAS (INCLUI NOZES E CASTANHAS);KIWIS;KIWIS FRESCOS;08105000;QUIVIS 'KIWIS',FRESCOS
